ID_compra,filial,cidade,tipo_cliente,genero,tipo_produto,preco_unitario,quantidade,imposto_5%,total,data,hora,forma_pagamento,avaliacao
354-25-5821,B,São Bernardo do Campo,Membro,Feminino,Esportes e Viagem,69.12,6,20.736,435.456,2/8/2019,13:03,Dinheiro,5.6
228-96-1411,C,São Caetano,Membro,Feminino,Alimentos e Bebidas,98.7,8,39.48,829.08,3/4/2019,20:39,Dinheiro,7.6
617-15-4209,C,São Caetano,Membro,Masculino,Saúde e Beleza,15.37,2,1.537,32.277,3/16/2019,19:47,Dinheiro,7.2
132-32-9879,B,São Bernardo do Campo,Membro,Feminino,Eletrônicos,93.96,4,18.792,394.632,3/9/2019,18:00,Dinheiro,9.5
370-41-7321,B,São Bernardo do Campo,Membro,Masculino,Saúde e Beleza,56.69,9,25.5105,535.7205,2/27/2019,17:24,Cartão de Crédito,8.4
727-46-3608,B,São Bernardo do Campo,Membro,Feminino,Alimentos e Bebidas,20.01,9,9.0045,189.0945,2/6/2019,15:47,Carteira Digital,4.1
669-54-1719,B,São Bernardo do Campo,Membro,Masculino,Eletrônicos,18.93,6,5.679,119.259,2/10/2019,12:45,Cartão de Crédito,8.1
574-22-5561,C,São Caetano,Membro,Feminino,Moda,82.63,10,41.315,867.615,3/19/2019,17:08,Carteira Digital,7.9
326-78-5178,C,São Caetano,Membro,Masculino,Alimentos e Bebidas,91.4,7,31.99,671.79,2/3/2019,10:19,Dinheiro,9.5
162-48-8011,A,Santo André,Membro,Feminino,Alimentos e Bebidas,44.59,5,11.1475,234.0975,2/10/2019,15:10,Dinheiro,8.5
616-24-2851,B,São Bernardo do Campo,Membro,Feminino,Moda,17.87,4,3.574,75.054,3/22/2019,14:42,Carteira Digital,6.5
778-71-5554,C,São Caetano,Membro,Masculino,Moda,15.43,1,0.7715,16.2015,1/25/2019,15:46,Cartão de Crédito,6.1
242-55-6721,B,São Bernardo do Campo,Normal,Masculino,Casa,16.16,2,1.616,33.936,3/7/2019,11:49,Carteira Digital,6.5
399-46-5918,C,São Caetano,Normal,Feminino,Eletrônicos,85.98,8,34.392,722.232,2/28/2019,19:01,Dinheiro,8.2
106-35-6779,A,Santo André,Membro,Masculino,Casa,44.34,2,4.434,93.114,3/27/2019,11:26,Dinheiro,5.8
635-40-6220,A,Santo André,Normal,Masculino,Saúde e Beleza,89.6,8,35.84,752.64,2/7/2019,11:28,Carteira Digital,6.6
817-48-8732,A,Santo André,Membro,Feminino,Casa,72.35,10,36.175,759.675,1/20/2019,15:55,Dinheiro,5.4
120-06-4233,C,São Caetano,Normal,Masculino,Eletrônicos,30.61,6,9.183,192.843,3/12/2019,20:36,Dinheiro,9.3
285-68-5083,C,São Caetano,Membro,Feminino,Esportes e Viagem,24.74,3,3.711,77.931,2/15/2019,17:47,Cartão de Crédito,10.0
803-83-5989,C,São Caetano,Normal,Masculino,Casa,55.73,6,16.719,351.099,2/24/2019,10:55,Carteira Digital,7.0
347-34-2234,B,São Bernardo do Campo,Membro,Feminino,Esportes e Viagem,55.07,9,24.7815,520.4115,2/3/2019,13:40,Carteira Digital,10.0
199-75-8169,A,Santo André,Membro,Masculino,Esportes e Viagem,15.81,10,7.905,166.005,3/6/2019,12:27,Cartão de Crédito,8.6
853-23-2453,B,São Bernardo do Campo,Membro,Masculino,Saúde e Beleza,75.74,4,15.148,318.108,2/14/2019,14:35,Dinheiro,7.6
877-22-3308,A,Santo André,Membro,Masculino,Saúde e Beleza,15.87,10,7.935,166.635,3/13/2019,16:40,Dinheiro,5.8
838-78-4295,C,São Caetano,Normal,Feminino,Saúde e Beleza,33.47,2,3.347,70.287,2/10/2019,15:43,Carteira Digital,6.7
109-28-2512,B,São Bernardo do Campo,Membro,Feminino,Moda,97.61,6,29.283,614.943,1/7/2019,15:01,Carteira Digital,9.9
232-11-3025,A,Santo André,Normal,Masculino,Esportes e Viagem,78.77,10,39.385,827.085,1/24/2019,10:04,Dinheiro,6.4
382-03-4532,A,Santo André,Membro,Feminino,Saúde e Beleza,18.33,1,0.9165,19.2465,2/2/2019,18:50,Dinheiro,4.3
393-65-2792,C,São Caetano,Normal,Masculino,Alimentos e Bebidas,89.48,10,44.74,939.54,1/6/2019,12:46,Cartão de Crédito,9.6
796-12-2025,C,São Caetano,Normal,Masculino,Moda,62.12,10,31.06,652.26,2/11/2019,16:19,Dinheiro,5.9
510-95-6347,B,São Bernardo do Campo,Membro,Feminino,Alimentos e Bebidas,48.52,3,7.278,152.838,3/5/2019,18:17,Carteira Digital,4.0
841-35-6630,C,São Caetano,Normal,Feminino,Eletrônicos,75.91,6,22.773,478.233,3/9/2019,18:21,Dinheiro,8.7
287-21-9091,A,Santo André,Normal,Masculino,Casa,74.67,9,33.6015,705.6315,1/22/2019,10:55,Carteira Digital,9.4
732-94-0499,C,São Caetano,Normal,Feminino,Eletrônicos,41.65,10,20.825,437.325,1/13/2019,17:04,Cartão de Crédito,5.4
263-10-3913,C,São Caetano,Membro,Masculino,Moda,49.04,9,22.068,463.428,1/9/2019,14:20,Cartão de Crédito,8.6
381-20-0914,A,Santo André,Membro,Feminino,Moda,20.01,9,9.0045,189.0945,1/12/2019,15:48,Cartão de Crédito,5.7
829-49-1914,C,São Caetano,Membro,Feminino,Alimentos e Bebidas,78.31,10,39.155,822.255,3/5/2019,16:24,Carteira Digital,6.6
756-01-7507,C,São Caetano,Normal,Feminino,Saúde e Beleza,20.38,5,5.095,106.995,1/22/2019,18:56,Dinheiro,6.0
870-72-4431,C,São Caetano,Normal,Feminino,Saúde e Beleza,99.19,6,29.757,624.897,1/21/2019,14:42,Cartão de Crédito,5.5
847-38-7188,B,São Bernardo do Campo,Normal,Feminino,Alimentos e Bebidas,96.68,3,14.502,304.542,1/26/2019,19:56,Carteira Digital,6.4
480-63-2856,C,São Caetano,Normal,Masculino,Alimentos e Bebidas,19.25,8,7.7,161.7,1/23/2019,18:37,Carteira Digital,6.6
787-56-0757,C,São Caetano,Membro,Feminino,Alimentos e Bebidas,80.36,4,16.072,337.512,2/23/2019,18:45,Cartão de Crédito,8.3
360-39-5055,C,São Caetano,Membro,Masculino,Esportes e Viagem,48.91,5,12.2275,256.7775,3/9/2019,10:17,Dinheiro,6.6
730-50-9884,C,São Caetano,Normal,Feminino,Esportes e Viagem,83.06,7,29.071,610.491,3/5/2019,14:31,Carteira Digital,4.0
362-58-8315,C,São Caetano,Normal,Masculino,Moda,76.52,5,19.13,401.73,3/25/2019,10:23,Dinheiro,9.9
633-44-8566,A,Santo André,Membro,Masculino,Alimentos e Bebidas,49.38,7,17.283,362.943,3/27/2019,20:35,Cartão de Crédito,7.3
504-35-8843,A,Santo André,Normal,Masculino,Esportes e Viagem,42.47,1,2.1235,44.5935,1/2/2019,16:57,Dinheiro,5.7
318-68-5053,B,São Bernardo do Campo,Normal,Feminino,Saúde e Beleza,76.99,6,23.097,485.037,2/27/2019,17:55,Dinheiro,6.1
565-80-5980,C,São Caetano,Membro,Feminino,Casa,47.38,4,9.476,198.996,1/23/2019,10:25,Dinheiro,7.1
225-32-0908,C,São Caetano,Normal,Feminino,Esportes e Viagem,44.86,10,22.43,471.03,1/26/2019,19:54,Carteira Digital,8.2
873-51-0671,A,Santo André,Membro,Feminino,Esportes e Viagem,21.98,7,7.693,161.553,1/10/2019,16:42,Carteira Digital,5.1
152-08-9985,B,São Bernardo do Campo,Membro,Masculino,Saúde e Beleza,64.36,9,28.962,608.202,3/12/2019,12:09,Cartão de Crédito,8.6
512-91-0811,C,São Caetano,Normal,Masculino,Saúde e Beleza,89.75,1,4.4875,94.2375,2/6/2019,20:05,Cartão de Crédito,6.6
594-34-4444,A,Santo André,Normal,Masculino,Eletrônicos,97.16,1,4.858,102.018,3/8/2019,20:38,Carteira Digital,7.2
766-85-7061,B,São Bernardo do Campo,Normal,Masculino,Saúde e Beleza,87.87,10,43.935,922.635,3/29/2019,10:25,Carteira Digital,5.1
871-39-9221,C,São Caetano,Normal,Feminino,Eletrônicos,12.45,6,3.735,78.435,2/9/2019,13:11,Dinheiro,4.1
865-92-6136,A,Santo André,Normal,Masculino,Alimentos e Bebidas,52.75,3,7.9125,166.1625,3/23/2019,10:16,Carteira Digital,9.3
733-01-9107,B,São Bernardo do Campo,Normal,Masculino,Casa,82.7,6,24.81,521.01,3/5/2019,18:14,Dinheiro,7.4
163-56-7055,C,São Caetano,Membro,Masculino,Moda,48.71,1,2.4355,51.1455,3/26/2019,19:20,Dinheiro,4.1
189-98-2939,C,São Caetano,Normal,Masculino,Moda,78.55,9,35.3475,742.2975,3/1/2019,13:22,Dinheiro,7.2
551-21-3069,C,São Caetano,Normal,Feminino,Eletrônicos,23.07,9,10.3815,218.0115,2/1/2019,11:27,Dinheiro,4.9
212-62-1842,A,Santo André,Normal,Masculino,Alimentos e Bebidas,58.26,6,17.478,367.038,3/28/2019,16:44,Dinheiro,9.9
716-39-1409,B,São Bernardo do Campo,Normal,Masculino,Saúde e Beleza,30.35,7,10.6225,223.0725,3/19/2019,18:19,Dinheiro,8.0
704-48-3927,A,Santo André,Membro,Masculino,Eletrônicos,88.67,10,44.335,931.035,1/12/2019,14:50,Carteira Digital,7.3
628-34-3388,C,São Caetano,Normal,Masculino,Moda,27.38,6,8.214,172.494,1/5/2019,20:54,Cartão de Crédito,7.9
630-74-5166,A,Santo André,Normal,Masculino,Esportes e Viagem,62.13,6,18.639,391.419,3/22/2019,20:19,Dinheiro,7.4
588-01-7461,C,São Caetano,Normal,Feminino,Alimentos e Bebidas,33.98,9,15.291,321.111,3/24/2019,10:43,Dinheiro,4.2
861-77-0145,C,São Caetano,Membro,Masculino,Eletrônicos,81.97,10,40.985,860.685,3/3/2019,14:30,Dinheiro,9.2
479-26-8945,B,São Bernardo do Campo,Membro,Feminino,Esportes e Viagem,16.49,2,1.649,34.629,2/5/2019,11:32,Carteira Digital,4.6
210-67-5886,C,São Caetano,Membro,Feminino,Saúde e Beleza,98.21,3,14.7315,309.3615,2/5/2019,10:41,Cartão de Crédito,7.8
227-78-1148,B,São Bernardo do Campo,Normal,Feminino,Moda,72.84,7,25.494,535.374,2/15/2019,12:44,Dinheiro,8.4
645-44-1170,A,Santo André,Membro,Masculino,Casa,58.07,9,26.1315,548.7615,1/19/2019,20:07,Carteira Digital,4.3
237-01-6122,C,São Caetano,Membro,Feminino,Casa,80.79,9,36.3555,763.4655,2/1/2019,20:31,Cartão de Crédito,9.5
225-98-1496,C,São Caetano,Normal,Feminino,Moda,27.02,3,4.053,85.113,3/2/2019,13:01,Cartão de Crédito,7.1
291-32-1427,B,São Bernardo do Campo,Membro,Masculino,Moda,21.94,5,5.485,115.185,3/5/2019,12:29,Carteira Digital,5.3
659-65-8956,B,São Bernardo do Campo,Membro,Masculino,Moda,51.36,1,2.568,53.928,1/16/2019,15:26,Carteira Digital,5.2
642-32-2990,A,Santo André,Normal,Feminino,Alimentos e Bebidas,10.96,10,5.48,115.08,2/2/2019,20:48,Carteira Digital,6.0
378-24-2715,B,São Bernardo do Campo,Normal,Masculino,Casa,53.44,2,5.344,112.224,1/20/2019,20:38,Carteira Digital,4.1
638-60-7125,A,Santo André,Normal,Feminino,Eletrônicos,99.56,8,39.824,836.304,2/14/2019,17:03,Cartão de Crédito,5.2
659-36-1684,C,São Caetano,Membro,Masculino,Esportes e Viagem,57.12,7,19.992,419.832,1/12/2019,12:02,Cartão de Crédito,6.5
219-22-9386,B,São Bernardo do Campo,Membro,Masculino,Esportes e Viagem,99.96,9,44.982,944.622,3/9/2019,17:26,Cartão de Crédito,4.2
336-78-2147,C,São Caetano,Membro,Masculino,Casa,63.91,8,25.564,536.844,3/13/2019,19:52,Cartão de Crédito,4.6
268-27-6179,B,São Bernardo do Campo,Membro,Feminino,Moda,56.47,8,22.588,474.348,3/9/2019,14:57,Carteira Digital,7.3
668-90-8900,A,Santo André,Normal,Feminino,Casa,93.69,7,32.7915,688.6215,3/10/2019,18:44,Cartão de Crédito,4.5
870-54-3162,A,Santo André,Normal,Feminino,Esportes e Viagem,32.25,5,8.0625,169.3125,1/27/2019,13:26,Dinheiro,9.0
189-08-9157,C,São Caetano,Normal,Feminino,Moda,31.73,9,14.2785,299.8485,1/8/2019,16:17,Cartão de Crédito,5.9
663-86-9076,C,São Caetano,Membro,Feminino,Alimentos e Bebidas,68.54,8,27.416,575.736,1/8/2019,15:57,Carteira Digital,8.5
549-84-7482,B,São Bernardo do Campo,Normal,Feminino,Esportes e Viagem,90.28,9,40.626,853.146,2/8/2019,11:15,Carteira Digital,7.2
191-10-6171,B,São Bernardo do Campo,Normal,Feminino,Moda,39.62,7,13.867,291.207,1/25/2019,13:18,Dinheiro,7.5
802-70-5316,A,Santo André,Membro,Feminino,Esportes e Viagem,92.13,6,27.639,580.419,3/6/2019,20:34,Dinheiro,8.3
695-51-0018,B,São Bernardo do Campo,Normal,Feminino,Esportes e Viagem,34.84,4,6.968,146.328,2/10/2019,18:36,Dinheiro,7.4
590-83-4591,B,São Bernardo do Campo,Membro,Masculino,Eletrônicos,87.45,6,26.235,550.935,2/17/2019,14:40,Cartão de Crédito,8.8
483-71-1164,C,São Caetano,Normal,Feminino,Saúde e Beleza,81.3,6,24.39,512.19,3/8/2019,16:43,Carteira Digital,5.3
597-78-7908,C,São Caetano,Normal,Masculino,Moda,90.22,3,13.533,284.193,2/18/2019,19:39,Dinheiro,6.2
700-81-1757,A,Santo André,Normal,Feminino,Eletrônicos,26.31,5,6.5775,138.1275,1/18/2019,20:59,Cartão de Crédito,8.8
354-39-5160,A,Santo André,Membro,Feminino,Casa,34.42,6,10.326,216.846,2/18/2019,15:39,Dinheiro,9.8
241-72-9525,B,São Bernardo do Campo,Normal,Masculino,Esportes e Viagem,51.91,10,25.955,545.055,2/16/2019,12:21,Dinheiro,8.2
575-30-8091,A,Santo André,Normal,Masculino,Esportes e Viagem,72.5,8,29.0,609.0,3/16/2019,19:25,Carteira Digital,9.2
731-81-9469,C,São Caetano,Membro,Feminino,Esportes e Viagem,89.8,10,44.9,942.9,1/23/2019,13:00,Cartão de Crédito,5.4
280-17-4359,C,São Caetano,Membro,Masculino,Saúde e Beleza,90.5,10,45.25,950.25,1/25/2019,13:48,Dinheiro,8.1
338-65-2210,C,São Caetano,Membro,Feminino,Saúde e Beleza,68.6,10,34.3,720.3,2/5/2019,19:57,Dinheiro,9.1
488-25-4221,C,São Caetano,Membro,Feminino,Alimentos e Bebidas,30.41,1,1.5205,31.9305,2/22/2019,10:36,Cartão de Crédito,8.4
239-10-7476,A,Santo André,Normal,Feminino,Casa,77.95,6,23.385,491.085,1/21/2019,16:37,Carteira Digital,8.0
458-41-1477,C,São Caetano,Normal,Feminino,Saúde e Beleza,46.26,6,13.878,291.438,3/8/2019,17:11,Cartão de Crédito,9.5
685-64-1609,A,Santo André,Membro,Feminino,Moda,30.14,10,15.07,316.47,2/10/2019,12:28,Carteira Digital,9.2
568-90-5112,C,São Caetano,Normal,Masculino,Saúde e Beleza,66.14,4,13.228,277.788,3/19/2019,12:46,Cartão de Crédito,5.6
262-47-2794,B,São Bernardo do Campo,Membro,Masculino,Casa,71.86,8,28.744,603.624,3/6/2019,15:07,Cartão de Crédito,6.2
238-49-0436,A,Santo André,Normal,Masculino,Saúde e Beleza,32.46,8,12.984,272.664,3/27/2019,13:48,Cartão de Crédito,4.9
608-96-3517,B,São Bernardo do Campo,Membro,Feminino,Moda,91.54,4,18.308,384.468,3/23/2019,19:20,Cartão de Crédito,4.8
584-86-7256,C,São Caetano,Membro,Masculino,Esportes e Viagem,34.56,7,12.096,254.016,3/11/2019,16:07,Cartão de Crédito,7.3
746-94-0204,A,Santo André,Normal,Masculino,Moda,83.24,9,37.458,786.618,1/29/2019,11:56,Cartão de Crédito,7.4
214-17-6927,C,São Caetano,Normal,Feminino,Alimentos e Bebidas,16.48,6,4.944,103.824,2/7/2019,18:23,Carteira Digital,9.9
400-89-4171,C,São Caetano,Normal,Feminino,Esportes e Viagem,80.97,8,32.388,680.148,1/28/2019,13:05,Dinheiro,9.3
782-95-9291,A,Santo André,Membro,Masculino,Alimentos e Bebidas,92.29,5,23.0725,484.5225,2/20/2019,15:55,Cartão de Crédito,9.0
279-74-2924,B,São Bernardo do Campo,Membro,Masculino,Eletrônicos,72.17,1,3.6085,75.7785,1/4/2019,19:40,Dinheiro,6.1
307-85-2293,B,São Bernardo do Campo,Normal,Masculino,Casa,50.28,5,12.57,263.97,3/7/2019,13:58,Carteira Digital,9.7
743-04-1105,B,São Bernardo do Campo,Membro,Masculino,Saúde e Beleza,97.22,9,43.749,918.729,3/30/2019,14:43,Carteira Digital,6.0
423-57-2993,B,São Bernardo do Campo,Normal,Masculino,Esportes e Viagem,93.39,6,28.017,588.357,3/27/2019,19:18,Carteira Digital,10.0
894-41-5205,C,São Caetano,Normal,Feminino,Alimentos e Bebidas,43.18,8,17.272,362.712,1/19/2019,19:39,Cartão de Crédito,8.3
275-28-0149,A,Santo André,Normal,Masculino,Esportes e Viagem,63.69,1,3.1845,66.8745,2/25/2019,16:21,Dinheiro,6.0
101-17-6199,A,Santo André,Normal,Masculino,Alimentos e Bebidas,45.79,7,16.0265,336.5565,3/13/2019,19:44,Cartão de Crédito,7.0
423-80-0988,C,São Caetano,Normal,Masculino,Esportes e Viagem,76.4,2,7.64,160.44,1/30/2019,19:42,Carteira Digital,6.5
548-46-9322,B,São Bernardo do Campo,Normal,Masculino,Alimentos e Bebidas,39.9,10,19.95,418.95,2/20/2019,15:24,Cartão de Crédito,5.9
505-02-0892,B,São Bernardo do Campo,Membro,Masculino,Saúde e Beleza,42.57,8,17.028,357.588,2/25/2019,14:12,Carteira Digital,5.6
234-65-2137,C,São Caetano,Normal,Masculino,Casa,95.58,10,47.79,1003.59,1/16/2019,13:32,Dinheiro,4.8
687-47-8271,A,Santo André,Normal,Masculino,Moda,98.98,10,49.49,1039.29,2/8/2019,16:20,Cartão de Crédito,8.7
796-32-9050,A,Santo André,Normal,Masculino,Alimentos e Bebidas,51.28,6,15.384,323.064,1/19/2019,16:31,Dinheiro,6.5
105-31-1824,A,Santo André,Membro,Masculino,Esportes e Viagem,69.52,7,24.332,510.972,2/1/2019,15:10,Cartão de Crédito,8.5
249-42-3782,A,Santo André,Normal,Masculino,Saúde e Beleza,70.01,5,17.5025,367.5525,1/3/2019,11:36,Carteira Digital,5.5
316-55-4634,B,São Bernardo do Campo,Membro,Masculino,Alimentos e Bebidas,80.05,5,20.0125,420.2625,1/26/2019,12:45,Cartão de Crédito,9.4
733-33-4967,C,São Caetano,Normal,Masculino,Eletrônicos,20.85,8,8.34,175.14,3/3/2019,19:17,Dinheiro,6.3
608-27-6295,B,São Bernardo do Campo,Membro,Masculino,Eletrônicos,52.89,6,15.867,333.207,1/19/2019,17:34,Cartão de Crédito,9.8
414-12-7047,B,São Bernardo do Campo,Normal,Masculino,Alimentos e Bebidas,19.79,8,7.916,166.236,1/18/2019,12:04,Carteira Digital,8.7
827-26-2100,A,Santo André,Membro,Masculino,Casa,33.84,9,15.228,319.788,3/21/2019,16:21,Carteira Digital,8.8
175-54-2529,A,Santo André,Membro,Masculino,Alimentos e Bebidas,22.17,8,8.868,186.228,3/3/2019,17:01,Cartão de Crédito,9.6
139-52-2867,C,São Caetano,Normal,Feminino,Moda,22.51,7,7.8785,165.4485,2/13/2019,10:50,Cartão de Crédito,4.8
407-63-8975,A,Santo André,Normal,Masculino,Alimentos e Bebidas,73.88,6,22.164,465.444,3/23/2019,19:16,Carteira Digital,4.4
342-65-4817,C,São Caetano,Membro,Masculino,Saúde e Beleza,86.8,3,13.02,273.42,1/28/2019,16:47,Carteira Digital,9.9
130-98-8941,C,São Caetano,Normal,Masculino,Moda,64.26,7,22.491,472.311,2/9/2019,10:00,Dinheiro,5.7
434-83-9547,C,São Caetano,Membro,Masculino,Alimentos e Bebidas,38.47,8,15.388,323.148,1/23/2019,11:51,Dinheiro,7.7
851-28-6367,A,Santo André,Membro,Masculino,Esportes e Viagem,15.5,10,7.75,162.75,3/23/2019,10:55,Carteira Digital,8.0
824-88-3614,C,São Caetano,Normal,Masculino,Saúde e Beleza,34.31,8,13.724,288.204,1/25/2019,15:00,Carteira Digital,5.7
586-25-0848,A,Santo André,Normal,Feminino,Esportes e Viagem,12.34,7,4.319,90.699,3/4/2019,11:19,Cartão de Crédito,6.7
895-66-0685,B,São Bernardo do Campo,Membro,Masculino,Alimentos e Bebidas,18.08,3,2.712,56.952,3/5/2019,19:46,Carteira Digital,8.0
305-14-0245,B,São Bernardo do Campo,Membro,Feminino,Casa,94.49,8,37.796,793.716,3/3/2019,19:00,Carteira Digital,7.5
732-04-5373,B,São Bernardo do Campo,Membro,Masculino,Casa,46.47,4,9.294,195.174,2/8/2019,10:53,Dinheiro,7.0
400-60-7251,A,Santo André,Normal,Masculino,Casa,74.07,1,3.7035,77.7735,2/10/2019,12:50,Carteira Digital,9.9
593-65-1552,C,São Caetano,Normal,Feminino,Casa,69.81,4,13.962,293.202,1/28/2019,20:50,Cartão de Crédito,5.9
284-34-9626,B,São Bernardo do Campo,Normal,Feminino,Casa,77.04,3,11.556,242.676,2/11/2019,10:39,Cartão de Crédito,7.2
437-58-8131,B,São Bernardo do Campo,Normal,Feminino,Moda,73.52,2,7.352,154.392,1/15/2019,13:41,Carteira Digital,4.6
286-43-6208,C,São Caetano,Normal,Feminino,Alimentos e Bebidas,87.8,9,39.51,829.71,3/16/2019,19:08,Dinheiro,9.2
641-43-2399,B,São Bernardo do Campo,Normal,Masculino,Casa,25.55,4,5.11,107.31,1/26/2019,20:23,Carteira Digital,5.7
